As_of_Date,Name,CSS Start Date,CSS Attrition date,Manager,Manager Start Date,Manager End Date,Role,Role Start Date,Role End Date,Status,Quotas_Pts
2020-04-01,Employee 21,2020-01-21,,Manager 14,2022-01-02,2022-06-30,Associate Account Executive,2024-01-01,,Ramping 3,50
2020-04-01,Employee 21,2020-01-21,,Manager 15,2023-03-01,,Account Executive,2020-01-21,2023-12-31,Ramping 3,50
2020-04-01,Employee 21,2020-01-21,,Manager 15,2023-03-01,,Associate Account Executive,2024-01-01,,Ramping 3,50
2020-04-01,Employee 21,2020-01-21,,Manager 24,2022-07-01,2023-02-28,Account Executive,2020-01-21,2023-12-31,Ramping 3,50
2020-04-01,Employee 21,2020-01-21,,Manager 24,2022-07-01,2023-02-28,Associate Account Executive,2024-01-01,,Ramping 3,50
2020-04-01,Employee 242,2020-03-16,2023-09-06,Manager 16,2022-11-01,2023-02-28,Account Executive,2020-03-16,2023-09-06,Ramping 1,24
2020-04-01,Employee 242,2020-03-16,2023-09-06,Manager 17,2023-03-01,2023-04-30,Account Executive,2020-03-16,2023-09-06,Ramping 1,24
2020-04-01,Employee 242,2020-03-16,2023-09-06,Manager 18,2023-05-01,2023-07-31,Account Executive,2020-03-16,2023-09-06,Ramping 1,24
2020-04-01,Employee 242,2020-03-16,2023-09-06,Manager 22,2023-08-01,2023-08-31,Account Executive,2020-03-16,2023-09-06,Ramping 1,24
2020-04-01,Employee 242,2020-03-16,2023-09-06,Manager 23,2023-09-01,2023-09-06,Account Executive,2020-03-16,2023-09-06,Ramping 1,24
2020-04-01,Employee 242,2020-03-16,2023-09-06,Manager 25,2022-04-01,2022-05-06,Account Executive,2020-03-16,2023-09-06,Ramping 1,24
2020-04-01,Employee 242,2020-03-16,2023-09-06,Manager 5,2022-05-07,2022-10-31,Account Executive,2020-03-16,2023-09-06,Ramping 1,24
2020-04-01,Employee 242,2020-03-16,2023-09-06,Manager 7,2022-01-02,2022-03-31,Account Executive,2020-03-16,2023-09-06,Ramping 1,24
2020-05-01,Employee 21,2020-01-21,,Manager 14,2022-01-02,2022-06-30,Account Executive,2020-01-21,2023-12-31,Ramping 4,75
2020-05-01,Employee 21,2020-01-21,,Manager 14,2022-01-02,2022-06-30,Associate Account Executive,2024-01-01,,Ramping 4,0
2020-05-01,Employee 21,2020-01-21,,Manager 15,2023-03-01,,Account Executive,2020-01-21,2023-12-31,Ramping 4,75
2020-05-01,Employee 21,2020-01-21,,Manager 15,2023-03-01,,Associate Account Executive,2024-01-01,,Ramping 4,0
2020-05-01,Employee 21,2020-01-21,,Manager 24,2022-07-01,2023-02-28,Account Executive,2020-01-21,2023-12-31,Ramping 4,75
2020-05-01,Employee 21,2020-01-21,,Manager 24,2022-07-01,2023-02-28,Associate Account Executive,2024-01-01,,Ramping 4,0
2020-05-01,Employee 242,2020-03-16,2023-09-06,Manager 16,2022-11-01,2023-02-28,Account Executive,2020-03-16,2023-09-06,Ramping 2,24
2020-05-01,Employee 242,2020-03-16,2023-09-06,Manager 17,2023-03-01,2023-04-30,Account Executive,2020-03-16,2023-09-06,Ramping 2,24
2020-05-01,Employee 242,2020-03-16,2023-09-06,Manager 18,2023-05-01,2023-07-31,Account Executive,2020-03-16,2023-09-06,Ramping 2,24
2020-05-01,Employee 242,2020-03-16,2023-09-06,Manager 22,2023-08-01,2023-08-31,Account Executive,2020-03-16,2023-09-06,Ramping 2,24
2020-05-01,Employee 242,2020-03-16,2023-09-06,Manager 23,2023-09-01,2023-09-06,Account Executive,2020-03-16,2023-09-06,Ramping 2,24
2020-05-01,Employee 242,2020-03-16,2023-09-06,Manager 25,2022-04-01,2022-05-06,Account Executive,2020-03-16,2023-09-06,Ramping 2,24
2020-05-01,Employee 242,2020-03-16,2023-09-06,Manager 5,2022-05-07,2022-10-31,Account Executive,2020-03-16,2023-09-06,Ramping 2,24
2020-05-01,Employee 242,2020-03-16,2023-09-06,Manager 7,2022-01-02,2022-03-31,Account Executive,2020-03-16,2023-09-06,Ramping 2,24
2020-05-01,Employee 49,2020-05-26,2022-06-07,Manager 14,2022-03-01,2022-06-07,Account Executive,2020-05-26,2022-06-07,Ramping 0,0
2020-05-01,Employee 49,2020-05-26,2022-06-07,Manager 32,2022-01-02,2022-02-28,Account Executive,2020-05-26,2022-06-07,Ramping 0,0
2020-06-01,Employee 21,2020-01-21,,Manager 14,2022-01-02,2022-06-30,Account Executive,2020-01-21,2023-12-31,Ramped,100
2020-06-01,Employee 21,2020-01-21,,Manager 14,2022-01-02,2022-06-30,Associate Account Executive,2024-01-01,,Ramped,90
2020-06-01,Employee 21,2020-01-21,,Manager 15,2023-03-01,,Account Executive,2020-01-21,2023-12-31,Ramped,100
2020-06-01,Employee 21,2020-01-21,,Manager 15,2023-03-01,,Associate Account Executive,2024-01-01,,Ramped,90
2020-06-01,Employee 21,2020-01-21,,Manager 24,2022-07-01,2023-02-28,Account Executive,2020-01-21,2023-12-31,Ramped,100
2020-06-01,Employee 21,2020-01-21,,Manager 24,2022-07-01,2023-02-28,Associate Account Executive,2024-01-01,,Ramped,90
2020-06-01,Employee 242,2020-03-16,2023-09-06,Manager 16,2022-11-01,2023-02-28,Account Executive,2020-03-16,2023-09-06,Ramping 3,50
2020-06-01,Employee 242,2020-03-16,2023-09-06,Manager 17,2023-03-01,2023-04-30,Account Executive,2020-03-16,2023-09-06,Ramping 3,50
2020-06-01,Employee 242,2020-03-16,2023-09-06,Manager 18,2023-05-01,2023-07-31,Account Executive,2020-03-16,2023-09-06,Ramping 3,50
2020-06-01,Employee 242,2020-03-16,2023-09-06,Manager 22,2023-08-01,2023-08-31,Account Executive,2020-03-16,2023-09-06,Ramping 3,50
2020-06-01,Employee 242,2020-03-16,2023-09-06,Manager 23,2023-09-01,2023-09-06,Account Executive,2020-03-16,2023-09-06,Ramping 3,50
2020-06-01,Employee 242,2020-03-16,2023-09-06,Manager 25,2022-04-01,2022-05-06,Account Executive,2020-03-16,2023-09-06,Ramping 3,50
2020-06-01,Employee 242,2020-03-16,2023-09-06,Manager 5,2022-05-07,2022-10-31,Account Executive,2020-03-16,2023-09-06,Ramping 3,50
2020-06-01,Employee 242,2020-03-16,2023-09-06,Manager 7,2022-01-02,2022-03-31,Account Executive,2020-03-16,2023-09-06,Ramping 3,50
2020-06-01,Employee 49,2020-05-26,2022-06-07,Manager 14,2022-03-01,2022-06-07,Account Executive,2020-05-26,2022-06-07,Ramping 1,24
2020-06-01,Employee 49,2020-05-26,2022-06-07,Manager 32,2022-01-02,2022-02-28,Account Executive,2020-05-26,2022-06-07,Ramping 1,24
2020-07-01,Employee 21,2020-01-21,,Manager 14,2022-01-02,2022-06-30,Account Executive,2020-01-21,2023-12-31,Ramped,100
2020-07-01,Employee 21,2020-01-21,,Manager 14,2022-01-02,2022-06-30,Associate Account Executive,2024-01-01,,Ramped,90
2020-07-01,Employee 21,2020-01-21,,Manager 15,2023-03-01,,Account Executive,2020-01-21,2023-12-31,Ramped,100
2020-07-01,Employee 21,2020-01-21,,Manager 15,2023-03-01,,Associate Account Executive,2024-01-01,,Ramped,90
2020-07-01,Employee 21,2020-01-21,,Manager 24,2022-07-01,2023-02-28,Account Executive,2020-01-21,2023-12-31,Ramped,100
2020-07-01,Employee 21,2020-01-21,,Manager 24,2022-07-01,2023-02-28,Associate Account Executive,2024-01-01,,Ramped,90
2020-07-01,Employee 242,2020-03-16,2023-09-06,Manager 16,2022-11-01,2023-02-28,Account Executive,2020-03-16,2023-09-06,Ramping 4,75
2020-07-01,Employee 242,2020-03-16,2023-09-06,Manager 17,2023-03-01,2023-04-30,Account Executive,2020-03-16,2023-09-06,Ramping 4,75
2020-07-01,Employee 242,2020-03-16,2023-09-06,Manager 18,2023-05-01,2023-07-31,Account Executive,2020-03-16,2023-09-06,Ramping 4,75
2020-07-01,Employee 242,2020-03-16,2023-09-06,Manager 22,2023-08-01,2023-08-31,Account Executive,2020-03-16,2023-09-06,Ramping 4,75
2020-07-01,Employee 242,2020-03-16,2023-09-06,Manager 23,2023-09-01,2023-09-06,Account Executive,2020-03-16,2023-09-06,Ramping 4,75
2020-07-01,Employee 242,2020-03-16,2023-09-06,Manager 25,2022-04-01,2022-05-06,Account Executive,2020-03-16,2023-09-06,Ramping 4,75
2020-07-01,Employee 242,2020-03-16,2023-09-06,Manager 5,2022-05-07,2022-10-31,Account Executive,2020-03-16,2023-09-06,Ramping 4,75
2020-07-01,Employee 242,2020-03-16,2023-09-06,Manager 7,2022-01-02,2022-03-31,Account Executive,2020-03-16,2023-09-06,Ramping 4,75
2020-07-01,Employee 49,2020-05-26,2022-06-07,Manager 14,2022-03-01,2022-06-07,Account Executive,2020-05-26,2022-06-07,Ramping 2,24
2020-07-01,Employee 49,2020-05-26,2022-06-07,Manager 32,2022-01-02,2022-02-28,Account Executive,2020-05-26,2022-06-07,Ramping 2,24
2020-08-01,Employee 147,2020-08-17,2022-02-18,Manager 3,2022-01-02,2022-02-18,Account Executive,2020-08-17,2022-02-18,Ramping 0,0
2020-08-01,Employee 21,2020-01-21,,Manager 14,2022-01-02,2022-06-30,Account Executive,2020-01-21,2023-12-31,Ramped,100
2020-08-01,Employee 21,2020-01-21,,Manager 14,2022-01-02,2022-06-30,Associate Account Executive,2024-01-01,,Ramped,90
2020-08-01,Employee 21,2020-01-21,,Manager 15,2023-03-01,,Account Executive,2020-01-21,2023-12-31,Ramped,100
2020-08-01,Employee 21,2020-01-21,,Manager 15,2023-03-01,,Associate Account Executive,2024-01-01,,Ramped,90
2020-08-01,Employee 21,2020-01-21,,Manager 24,2022-07-01,2023-02-28,Account Executive,2020-01-21,2023-12-31,Ramped,100
2020-08-01,Employee 21,2020-01-21,,Manager 24,2022-07-01,2023-02-28,Associate Account Executive,2024-01-01,,Ramped,90
2020-08-01,Employee 242,2020-03-16,2023-09-06,Manager 16,2022-11-01,2023-02-28,Account Executive,2020-03-16,2023-09-06,Ramped,100
2020-08-01,Employee 242,2020-03-16,2023-09-06,Manager 17,2023-03-01,2023-04-30,Account Executive,2020-03-16,2023-09-06,Ramped,100
2020-08-01,Employee 242,2020-03-16,2023-09-06,Manager 18,2023-05-01,2023-07-31,Account Executive,2020-03-16,2023-09-06,Ramped,100
2020-08-01,Employee 242,2020-03-16,2023-09-06,Manager 22,2023-08-01,2023-08-31,Account Executive,2020-03-16,2023-09-06,Ramped,100
2020-08-01,Employee 242,2020-03-16,2023-09-06,Manager 23,2023-09-01,2023-09-06,Account Executive,2020-03-16,2023-09-06,Ramped,100
2020-08-01,Employee 242,2020-03-16,2023-09-06,Manager 25,2022-04-01,2022-05-06,Account Executive,2020-03-16,2023-09-06,Ramped,100
2020-08-01,Employee 242,2020-03-16,2023-09-06,Manager 5,2022-05-07,2022-10-31,Account Executive,2020-03-16,2023-09-06,Ramped,100
2020-08-01,Employee 242,2020-03-16,2023-09-06,Manager 7,2022-01-02,2022-03-31,Account Executive,2020-03-16,2023-09-06,Ramped,100
2020-08-01,Employee 349,2020-08-03,2024-04-30,Manager 12,2022-01-02,2024-03-31,Account Executive,2020-08-03,2023-12-31,Ramping 0,0
2020-08-01,Employee 349,2020-08-03,2024-04-30,Manager 12,2022-01-02,2024-03-31,Associate Account Executive,2024-01-01,2024-03-31,Ramping 0,0
2020-08-01,Employee 49,2020-05-26,2022-06-07,Manager 14,2022-03-01,2022-06-07,Account Executive,2020-05-26,2022-06-07,Ramping 3,50
2020-08-01,Employee 49,2020-05-26,2022-06-07,Manager 32,2022-01-02,2022-02-28,Account Executive,2020-05-26,2022-06-07,Ramping 3,50
2020-09-01,Employee 147,2020-08-17,2022-02-18,Manager 3,2022-01-02,2022-02-18,Account Executive,2020-08-17,2022-02-18,Ramping 1,24
2020-09-01,Employee 21,2020-01-21,,Manager 14,2022-01-02,2022-06-30,Account Executive,2020-01-21,2023-12-31,Ramped,100
2020-09-01,Employee 21,2020-01-21,,Manager 14,2022-01-02,2022-06-30,Associate Account Executive,2024-01-01,,Ramped,90
2020-09-01,Employee 21,2020-01-21,,Manager 15,2023-03-01,,Account Executive,2020-01-21,2023-12-31,Ramped,100
2020-09-01,Employee 21,2020-01-21,,Manager 15,2023-03-01,,Associate Account Executive,2024-01-01,,Ramped,90
2020-09-01,Employee 21,2020-01-21,,Manager 24,2022-07-01,2023-02-28,Account Executive,2020-01-21,2023-12-31,Ramped,100
2020-09-01,Employee 21,2020-01-21,,Manager 24,2022-07-01,2023-02-28,Associate Account Executive,2024-01-01,,Ramped,90
2020-09-01,Employee 242,2020-03-16,2023-09-06,Manager 16,2022-11-01,2023-02-28,Account Executive,2020-03-16,2023-09-06,Ramped,100
2020-09-01,Employee 242,2020-03-16,2023-09-06,Manager 17,2023-03-01,2023-04-30,Account Executive,2020-03-16,2023-09-06,Ramped,100
2020-09-01,Employee 242,2020-03-16,2023-09-06,Manager 18,2023-05-01,2023-07-31,Account Executive,2020-03-16,2023-09-06,Ramped,100
2020-09-01,Employee 242,2020-03-16,2023-09-06,Manager 22,2023-08-01,2023-08-31,Account Executive,2020-03-16,2023-09-06,Ramped,100
2020-09-01,Employee 242,2020-03-16,2023-09-06,Manager 23,2023-09-01,2023-09-06,Account Executive,2020-03-16,2023-09-06,Ramped,100
2020-09-01,Employee 242,2020-03-16,2023-09-06,Manager 25,2022-04-01,2022-05-06,Account Executive,2020-03-16,2023-09-06,Ramped,100
2020-09-01,Employee 242,2020-03-16,2023-09-06,Manager 5,2022-05-07,2022-10-31,Account Executive,2020-03-16,2023-09-06,Ramped,100
2020-09-01,Employee 242,2020-03-16,2023-09-06,Manager 7,2022-01-02,2022-03-31,Account Executive,2020-03-16,2023-09-06,Ramped,100
2020-09-01,Employee 349,2020-08-03,2024-04-30,Manager 12,2022-01-02,2024-03-31,Account Executive,2020-08-03,2023-12-31,Ramping 1,24
2020-09-01,Employee 349,2020-08-03,2024-04-30,Manager 12,2022-01-02,2024-03-31,Associate Account Executive,2024-01-01,2024-03-31,Ramping 1,24
2020-09-01,Employee 49,2020-05-26,2022-06-07,Manager 14,2022-03-01,2022-06-07,Account Executive,2020-05-26,2022-06-07,Ramping 4,75
2020-09-01,Employee 49,2020-05-26,2022-06-07,Manager 32,2022-01-02,2022-02-28,Account Executive,2020-05-26,2022-06-07,Ramping 4,75
2020-10-01,Employee 147,2020-08-17,2022-02-18,Manager 3,2022-01-02,2022-02-18,Account Executive,2020-08-17,2022-02-18,Ramping 2,24
2020-10-01,Employee 21,2020-01-21,,Manager 14,2022-01-02,2022-06-30,Account Executive,2020-01-21,2023-12-31,Ramped,100
2020-10-01,Employee 21,2020-01-21,,Manager 14,2022-01-02,2022-06-30,Associate Account Executive,2024-01-01,,Ramped,90
2020-10-01,Employee 21,2020-01-21,,Manager 15,2023-03-01,,Account Executive,2020-01-21,2023-12-31,Ramped,100
2020-10-01,Employee 21,2020-01-21,,Manager 15,2023-03-01,,Associate Account Executive,2024-01-01,,Ramped,90
2020-10-01,Employee 21,2020-01-21,,Manager 24,2022-07-01,2023-02-28,Account Executive,2020-01-21,2023-12-31,Ramped,100
2020-10-01,Employee 21,2020-01-21,,Manager 24,2022-07-01,2023-02-28,Associate Account Executive,2024-01-01,,Ramped,90
2020-10-01,Employee 242,2020-03-16,2023-09-06,Manager 16,2022-11-01,2023-02-28,Account Executive,2020-03-16,2023-09-06,Ramped,100
2020-10-01,Employee 242,2020-03-16,2023-09-06,Manager 17,2023-03-01,2023-04-30,Account Executive,2020-03-16,2023-09-06,Ramped,100
2020-10-01,Employee 242,2020-03-16,2023-09-06,Manager 18,2023-05-01,2023-07-31,Account Executive,2020-03-16,2023-09-06,Ramped,100
2020-10-01,Employee 242,2020-03-16,2023-09-06,Manager 22,2023-08-01,2023-08-31,Account Executive,2020-03-16,2023-09-06,Ramped,100
2020-10-01,Employee 242,2020-03-16,2023-09-06,Manager 23,2023-09-01,2023-09-06,Account Executive,2020-03-16,2023-09-06,Ramped,100
2020-10-01,Employee 242,2020-03-16,2023-09-06,Manager 25,2022-04-01,2022-05-06,Account Executive,2020-03-16,2023-09-06,Ramped,100
2020-10-01,Employee 242,2020-03-16,2023-09-06,Manager 5,2022-05-07,2022-10-31,Account Executive,2020-03-16,2023-09-06,Ramped,100
2020-10-01,Employee 242,2020-03-16,2023-09-06,Manager 7,2022-01-02,2022-03-31,Account Executive,2020-03-16,2023-09-06,Ramped,100
2020-10-01,Employee 349,2020-08-03,2024-04-30,Manager 12,2022-01-02,2024-03-31,Account Executive,2020-08-03,2023-12-31,Ramping 2,24
2020-10-01,Employee 349,2020-08-03,2024-04-30,Manager 12,2022-01-02,2024-03-31,Associate Account Executive,2024-01-01,2024-03-31,Ramping 2,24
2020-10-01,Employee 49,2020-05-26,2022-06-07,Manager 14,2022-03-01,2022-06-07,Account Executive,2020-05-26,2022-06-07,Ramped,100
2020-10-01,Employee 49,2020-05-26,2022-06-07,Manager 32,2022-01-02,2022-02-28,Account Executive,2020-05-26,2022-06-07,Ramped,100
2020-11-01,Employee 147,2020-08-17,2022-02-18,Manager 3,2022-01-02,2022-02-18,Account Executive,2020-08-17,2022-02-18,Ramping 3,50
2020-11-01,Employee 193,2020-11-01,2024-03-31,Manager 2,2022-05-07,2022-07-31,Account Executive,2020-11-01,2023-12-31,Ramping 1,24
2020-11-01,Employee 193,2020-11-01,2024-03-31,Manager 2,2022-05-07,2022-07-31,Associate Account Executive,2024-01-01,2024-03-31,Ramping 1,24
2020-11-01,Employee 193,2020-11-01,2024-03-31,Manager 3,2022-08-01,2024-03-31,Account Executive,2020-11-01,2023-12-31,Ramping 1,24
2020-11-01,Employee 193,2020-11-01,2024-03-31,Manager 3,2022-08-01,2024-03-31,Associate Account Executive,2024-01-01,2024-03-31,Ramping 1,24
2020-11-01,Employee 193,2020-11-01,2024-03-31,Manager 31,2022-01-02,2022-05-06,Account Executive,2020-11-01,2023-12-31,Ramping 1,24
2020-11-01,Employee 193,2020-11-01,2024-03-31,Manager 31,2022-01-02,2022-05-06,Associate Account Executive,2024-01-01,2024-03-31,Ramping 1,24
2020-11-01,Employee 21,2020-01-21,,Manager 14,2022-01-02,2022-06-30,Account Executive,2020-01-21,2023-12-31,Ramped,100
2020-11-01,Employee 21,2020-01-21,,Manager 14,2022-01-02,2022-06-30,Associate Account Executive,2024-01-01,,Ramped,90
2020-11-01,Employee 21,2020-01-21,,Manager 15,2023-03-01,,Account Executive,2020-01-21,2023-12-31,Ramped,100
2020-11-01,Employee 21,2020-01-21,,Manager 15,2023-03-01,,Associate Account Executive,2024-01-01,,Ramped,90
2020-11-01,Employee 21,2020-01-21,,Manager 24,2022-07-01,2023-02-28,Account Executive,2020-01-21,2023-12-31,Ramped,100
2020-11-01,Employee 21,2020-01-21,,Manager 24,2022-07-01,2023-02-28,Associate Account Executive,2024-01-01,,Ramped,90
2020-11-01,Employee 242,2020-03-16,2023-09-06,Manager 16,2022-11-01,2023-02-28,Account Executive,2020-03-16,2023-09-06,Ramped,100
2020-11-01,Employee 242,2020-03-16,2023-09-06,Manager 17,2023-03-01,2023-04-30,Account Executive,2020-03-16,2023-09-06,Ramped,100
2020-11-01,Employee 242,2020-03-16,2023-09-06,Manager 18,2023-05-01,2023-07-31,Account Executive,2020-03-16,2023-09-06,Ramped,100
2020-11-01,Employee 242,2020-03-16,2023-09-06,Manager 22,2023-08-01,2023-08-31,Account Executive,2020-03-16,2023-09-06,Ramped,100
2020-11-01,Employee 242,2020-03-16,2023-09-06,Manager 23,2023-09-01,2023-09-06,Account Executive,2020-03-16,2023-09-06,Ramped,100
2020-11-01,Employee 242,2020-03-16,2023-09-06,Manager 25,2022-04-01,2022-05-06,Account Executive,2020-03-16,2023-09-06,Ramped,100
2020-11-01,Employee 242,2020-03-16,2023-09-06,Manager 5,2022-05-07,2022-10-31,Account Executive,2020-03-16,2023-09-06,Ramped,100
2020-11-01,Employee 242,2020-03-16,2023-09-06,Manager 7,2022-01-02,2022-03-31,Account Executive,2020-03-16,2023-09-06,Ramped,100
2020-11-01,Employee 349,2020-08-03,2024-04-30,Manager 12,2022-01-02,2024-03-31,Account Executive,2020-08-03,2023-12-31,Ramping 3,50
2020-11-01,Employee 349,2020-08-03,2024-04-30,Manager 12,2022-01-02,2024-03-31,Associate Account Executive,2024-01-01,2024-03-31,Ramping 3,50
2020-11-01,Employee 49,2020-05-26,2022-06-07,Manager 14,2022-03-01,2022-06-07,Account Executive,2020-05-26,2022-06-07,Ramped,100
2020-11-01,Employee 49,2020-05-26,2022-06-07,Manager 32,2022-01-02,2022-02-28,Account Executive,2020-05-26,2022-06-07,Ramped,100
2020-12-01,Employee 147,2020-08-17,2022-02-18,Manager 3,2022-01-02,2022-02-18,Account Executive,2020-08-17,2022-02-18,Ramping 4,75
2020-12-01,Employee 193,2020-11-01,2024-03-31,Manager 2,2022-05-07,2022-07-31,Account Executive,2020-11-01,2023-12-31,Ramping 2,24
2020-12-01,Employee 193,2020-11-01,2024-03-31,Manager 2,2022-05-07,2022-07-31,Associate Account Executive,2024-01-01,2024-03-31,Ramping 2,24
2020-12-01,Employee 193,2020-11-01,2024-03-31,Manager 3,2022-08-01,2024-03-31,Account Executive,2020-11-01,2023-12-31,Ramping 2,24
2020-12-01,Employee 193,2020-11-01,2024-03-31,Manager 3,2022-08-01,2024-03-31,Associate Account Executive,2024-01-01,2024-03-31,Ramping 2,24
2020-12-01,Employee 193,2020-11-01,2024-03-31,Manager 31,2022-01-02,2022-05-06,Account Executive,2020-11-01,2023-12-31,Ramping 2,24
2020-12-01,Employee 193,2020-11-01,2024-03-31,Manager 31,2022-01-02,2022-05-06,Associate Account Executive,2024-01-01,2024-03-31,Ramping 2,24
2020-12-01,Employee 21,2020-01-21,,Manager 14,2022-01-02,2022-06-30,Account Executive,2020-01-21,2023-12-31,Ramped,100
2020-12-01,Employee 21,2020-01-21,,Manager 14,2022-01-02,2022-06-30,Associate Account Executive,2024-01-01,,Ramped,90
2020-12-01,Employee 21,2020-01-21,,Manager 15,2023-03-01,,Account Executive,2020-01-21,2023-12-31,Ramped,100
2020-12-01,Employee 21,2020-01-21,,Manager 15,2023-03-01,,Associate Account Executive,2024-01-01,,Ramped,90
2020-12-01,Employee 21,2020-01-21,,Manager 24,2022-07-01,2023-02-28,Account Executive,2020-01-21,2023-12-31,Ramped,100
2020-12-01,Employee 21,2020-01-21,,Manager 24,2022-07-01,2023-02-28,Associate Account Executive,2024-01-01,,Ramped,90
2020-12-01,Employee 242,2020-03-16,2023-09-06,Manager 16,2022-11-01,2023-02-28,Account Executive,2020-03-16,2023-09-06,Ramped,100
2020-12-01,Employee 242,2020-03-16,2023-09-06,Manager 17,2023-03-01,2023-04-30,Account Executive,2020-03-16,2023-09-06,Ramped,100
2020-12-01,Employee 242,2020-03-16,2023-09-06,Manager 18,2023-05-01,2023-07-31,Account Executive,2020-03-16,2023-09-06,Ramped,100
2020-12-01,Employee 242,2020-03-16,2023-09-06,Manager 22,2023-08-01,2023-08-31,Account Executive,2020-03-16,2023-09-06,Ramped,100
2020-12-01,Employee 242,2020-03-16,2023-09-06,Manager 23,2023-09-01,2023-09-06,Account Executive,2020-03-16,2023-09-06,Ramped,100
2020-12-01,Employee 242,2020-03-16,2023-09-06,Manager 25,2022-04-01,2022-05-06,Account Executive,2020-03-16,2023-09-06,Ramped,100
2020-12-01,Employee 242,2020-03-16,2023-09-06,Manager 5,2022-05-07,2022-10-31,Account Executive,2020-03-16,2023-09-06,Ramped,100
2020-12-01,Employee 242,2020-03-16,2023-09-06,Manager 7,2022-01-02,2022-03-31,Account Executive,2020-03-16,2023-09-06,Ramped,100
2020-12-01,Employee 349,2020-08-03,2024-04-30,Manager 12,2022-01-02,2024-03-31,Account Executive,2020-08-03,2023-12-31,Ramping 4,75
2020-12-01,Employee 349,2020-08-03,2024-04-30,Manager 12,2022-01-02,2024-03-31,Associate Account Executive,2024-01-01,2024-03-31,Ramping 4,0
